"COPidName","pd_2019_P","DataPackCode","DataPackFilename","DataPackTabName","indicator","numeratorDenom","Modality","KeyPop","KnownNewStatus","NewExistingART","Indication","TBStatus","pregBF","VMMCTechnique","Age","AggregatedAge","AggregatedAgeFlag","Sex","HIVStatus","otherDisagg","IMPATT"
"GEND_GBV|N|DSD|||||||||20-24|15+||Female||Physical and/or Emotional Violence","ajV9fIG2L0S.UwV8YVOEVl3","gend_gbv_2024_f_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","20-24","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||20-24|15+||Female||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.Oz9mfDvGh0n","gend_gbv_2024_f_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","20-24","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||20-24|15+||Male||Physical and/or Emotional Violence","ajV9fIG2L0S.pA604NbnktK","gend_gbv_2024_m_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","20-24","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||20-24|15+||Male||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.EaFoYeVKtl1","gend_gbv_2024_m_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","20-24","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||25-29|15+||Female||Physical and/or Emotional Violence","ajV9fIG2L0S.NwrTfkWdED1","gend_gbv_2529_f_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","25-29","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||25-29|15+||Female||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.GmlEpQlBZJN","gend_gbv_2529_f_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","25-29","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||25-29|15+||Male||Physical and/or Emotional Violence","ajV9fIG2L0S.EUViVSqSaSx","gend_gbv_2529_m_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","25-29","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||25-29|15+||Male||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.eph8upo4KnI","gend_gbv_2529_m_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","25-29","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||30-34|15+||Female||Physical and/or Emotional Violence","ajV9fIG2L0S.AH6J0MDYMZ0","gend_gbv_3034_f_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","30-34","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||30-34|15+||Female||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.O6L8gP01Z7E","gend_gbv_3034_f_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","30-34","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||30-34|15+||Male||Physical and/or Emotional Violence","ajV9fIG2L0S.KUP9oCrnXLm","gend_gbv_3034_m_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","30-34","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||30-34|15+||Male||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.kTLb3E6uG8m","gend_gbv_3034_m_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","30-34","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||35-39|15+||Female||Physical and/or Emotional Violence","ajV9fIG2L0S.wVVtzmD5xsT","gend_gbv_3539_f_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","35-39","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||35-39|15+||Female||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.RRU8Xbcw6m2","gend_gbv_3539_f_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","35-39","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||35-39|15+||Male||Physical and/or Emotional Violence","ajV9fIG2L0S.VPXUnkqLbb4","gend_gbv_3539_m_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","35-39","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||35-39|15+||Male||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.njzg2pswvAa","gend_gbv_3539_m_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","35-39","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||40-49|15+||Female||Physical and/or Emotional Violence","ajV9fIG2L0S.HUNtR6x2i93","gend_gbv_4049_f_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","40-49","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||40-49|15+||Female||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.nW1xLOwJNQ3","gend_gbv_4049_f_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","40-49","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||40-49|15+||Male||Physical and/or Emotional Violence","ajV9fIG2L0S.iam0H1wLzgw","gend_gbv_4049_m_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","40-49","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||40-49|15+||Male||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.l0fUVaWXRTe","gend_gbv_4049_m_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","40-49","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||50+|15+||Female||Physical and/or Emotional Violence","ajV9fIG2L0S.AGV475enDdO","gend_gbv_o50_f_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","50+","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||50+|15+||Female||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.EMPdzS9xUZs","gend_gbv_o50_f_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","50+","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||50+|15+||Male||Physical and/or Emotional Violence","ajV9fIG2L0S.v5rsJlwfzWD","gend_gbv_o50_m_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","50+","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||50+|15+||Male||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.sIES2ww1feR","gend_gbv_o50_m_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","50+","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||Unknown Age|Unknown Age||Female||Physical and/or Emotional Violence","ajV9fIG2L0S.mBZDaR3vEWI","gend_gbv_unk_f_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","Unknown Age","Unknown Age","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||Unknown Age|Unknown Age||Female||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.BEeHdeU1F5X","gend_gbv_unk_f_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","Unknown Age","Unknown Age","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|DSD|||||||||Unknown Age|Unknown Age||Male||Physical and/or Emotional Violence","ajV9fIG2L0S.IzsPqa2d0Be","gend_gbv_unk_m_pev_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","Unknown Age","Unknown Age","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|DSD|||||||||Unknown Age|Unknown Age||Male||Sexual Violence (Post-Rape Care)","ajV9fIG2L0S.qJU4cswuusj","gend_gbv_unk_m_sv_dsd","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","Unknown Age","Unknown Age","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||<10|<15||Female||Physical and/or Emotional Violence","dRpUGfp3VCs.wt4A4IVhK44","gend_gbv_u10_f_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","<10","<15","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||<10|<15||Female||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.QdyvOZhmwfP","gend_gbv_u10_f_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","<10","<15","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||<10|<15||Male||Physical and/or Emotional Violence","dRpUGfp3VCs.ClVqXFbwu7z","gend_gbv_u10_m_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","<10","<15","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||<10|<15||Male||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.qRPbwt7xN8N","gend_gbv_u10_m_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","<10","<15","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA||||||||||||||","xStk5C4PBG8.HllvX50cXC0","D_gend_gbv_fy19_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","","","","","","",FALSE
"GEND_GBV|N|TA||||||||||||||PEP","H9uvJMErS3A.HllvX50cXC0","gend_gbv_pep_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","","","","","","PEP",FALSE
"GEND_GBV|N|TA||||||||||||||Physical and/or Emotional Violence","wcuOSC0GJ7W.rslp7ddiBzy","gend_gbv_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","","","","","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA||||||||||||||Sexual Violence (Post-Rape Care)","wcuOSC0GJ7W.Cieg8r0FOGJ","gend_gbv_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","","","","","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||10-14|<15||Female||Physical and/or Emotional Violence","dRpUGfp3VCs.GGtPtwWGpuU","gend_gbv_1014_f_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","10-14","<15","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||10-14|<15||Female||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.O8VSbT4lhbG","gend_gbv_1014_f_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","10-14","<15","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||10-14|<15||Male||Physical and/or Emotional Violence","dRpUGfp3VCs.YsGSdOrSGvO","gend_gbv_1014_m_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","10-14","<15","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||10-14|<15||Male||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.dWU2Qc1DBTx","gend_gbv_1014_m_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","10-14","<15","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||15-19|15+||Female||Physical and/or Emotional Violence","dRpUGfp3VCs.Cec3GHF5VQZ","gend_gbv_1519_f_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","15-19","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||15-19|15+||Female||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.lQfjasPsxs3","gend_gbv_1519_f_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","15-19","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||15-19|15+||Male||Physical and/or Emotional Violence","dRpUGfp3VCs.qS6AUbNJKE8","gend_gbv_1519_m_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","15-19","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||15-19|15+||Male||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.zh1RfnjU3nw","gend_gbv_1519_m_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","15-19","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||20-24|15+||Female||Physical and/or Emotional Violence","dRpUGfp3VCs.UwV8YVOEVl3","gend_gbv_2024_f_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","20-24","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||20-24|15+||Female||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.Oz9mfDvGh0n","gend_gbv_2024_f_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","20-24","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||20-24|15+||Male||Physical and/or Emotional Violence","dRpUGfp3VCs.pA604NbnktK","gend_gbv_2024_m_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","20-24","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||20-24|15+||Male||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.EaFoYeVKtl1","gend_gbv_2024_m_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","20-24","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||25-29|15+||Female||Physical and/or Emotional Violence","dRpUGfp3VCs.NwrTfkWdED1","gend_gbv_2529_f_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","25-29","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||25-29|15+||Female||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.GmlEpQlBZJN","gend_gbv_2529_f_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","25-29","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||25-29|15+||Male||Physical and/or Emotional Violence","dRpUGfp3VCs.EUViVSqSaSx","gend_gbv_2529_m_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","25-29","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||25-29|15+||Male||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.eph8upo4KnI","gend_gbv_2529_m_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","25-29","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||30-34|15+||Female||Physical and/or Emotional Violence","dRpUGfp3VCs.AH6J0MDYMZ0","gend_gbv_3034_f_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","30-34","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||30-34|15+||Female||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.O6L8gP01Z7E","gend_gbv_3034_f_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","30-34","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||30-34|15+||Male||Physical and/or Emotional Violence","dRpUGfp3VCs.KUP9oCrnXLm","gend_gbv_3034_m_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","30-34","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||30-34|15+||Male||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.kTLb3E6uG8m","gend_gbv_3034_m_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","30-34","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||35-39|15+||Female||Physical and/or Emotional Violence","dRpUGfp3VCs.wVVtzmD5xsT","gend_gbv_3539_f_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","35-39","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||35-39|15+||Female||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.RRU8Xbcw6m2","gend_gbv_3539_f_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","35-39","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||35-39|15+||Male||Physical and/or Emotional Violence","dRpUGfp3VCs.VPXUnkqLbb4","gend_gbv_3539_m_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","35-39","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||35-39|15+||Male||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.njzg2pswvAa","gend_gbv_3539_m_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","35-39","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||40-49|15+||Female||Physical and/or Emotional Violence","dRpUGfp3VCs.HUNtR6x2i93","gend_gbv_4049_f_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","40-49","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||40-49|15+||Female||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.nW1xLOwJNQ3","gend_gbv_4049_f_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","40-49","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||40-49|15+||Male||Physical and/or Emotional Violence","dRpUGfp3VCs.iam0H1wLzgw","gend_gbv_4049_m_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","40-49","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||40-49|15+||Male||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.l0fUVaWXRTe","gend_gbv_4049_m_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","40-49","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||50+|15+||Female||Physical and/or Emotional Violence","dRpUGfp3VCs.AGV475enDdO","gend_gbv_o50_f_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","50+","15+","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||50+|15+||Female||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.EMPdzS9xUZs","gend_gbv_o50_f_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","50+","15+","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||50+|15+||Male||Physical and/or Emotional Violence","dRpUGfp3VCs.v5rsJlwfzWD","gend_gbv_o50_m_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","50+","15+","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||50+|15+||Male||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.sIES2ww1feR","gend_gbv_o50_m_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","50+","15+","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||Unknown Age|Unknown Age||Female||Physical and/or Emotional Violence","dRpUGfp3VCs.mBZDaR3vEWI","gend_gbv_unk_f_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","Unknown Age","Unknown Age","","Female","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||Unknown Age|Unknown Age||Female||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.BEeHdeU1F5X","gend_gbv_unk_f_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","Unknown Age","Unknown Age","","Female","","Sexual Violence (Post-Rape Care)",FALSE
"GEND_GBV|N|TA|||||||||Unknown Age|Unknown Age||Male||Physical and/or Emotional Violence","dRpUGfp3VCs.IzsPqa2d0Be","gend_gbv_unk_m_pev_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","Unknown Age","Unknown Age","","Male","","Physical and/or Emotional Violence",FALSE
"GEND_GBV|N|TA|||||||||Unknown Age|Unknown Age||Male||Sexual Violence (Post-Rape Care)","dRpUGfp3VCs.qJU4cswuusj","gend_gbv_unk_m_sv_ta","DisaggTool","GEND_GBV","GEND_GBV","N","","","","","","","","","Unknown Age","Unknown Age","","Male","","Sexual Violence (Post-Rape Care)",FALSE
"HTS_SELF|N|DSD||||||||||||||Directly-Assisted","p20NC89HWxa.PMExNx4vs6N","hts_self_direct_dsd","DisaggTool","HTS_SELF","HTS_SELF","N","","","","","","","","","","","","","","Directly-Assisted",FALSE
"HTS_SELF|N|DSD||||||||||||||Unassisted","p20NC89HWxa.ovSESk3GAdz","hts_self_unasst_dsd","DisaggTool","HTS_SELF","HTS_SELF","N","","","","","","","","","","","","","","Unassisted",FALSE
"HTS_SELF|N|DSD||||||||||||||Unassisted - Other","MB10F6KgMle.fPFQkPZwhi8","hts_self_unasst_oth_dsd","DisaggTool","HTS_SELF","HTS_SELF","N","","","","","","","","","","","","","","Unassisted - Other",FALSE
