DataPackKey,DataPackCode,DataPackFilename,DataPackTabName,indicator,numeratorDenom,Modality,KeyPop,KnownNewStatus,NewExistingART,Indication,TBStatus,pregBF,VMMCTechnique,Age,AggregatedAge,AggregatedAgeFlag,Sex,HIVStatus,otherDisagg,IMPATT
GEND_GBV|N|||||||||50+|15+||Female||Physical and/or Emotional Violence|FALSE,gend_gbv_o50_f_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,50+,15+,,Female,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||50+|15+||Female||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_o50_f_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,50+,15+,,Female,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||50+|15+||Male||Physical and/or Emotional Violence|FALSE,gend_gbv_o50_m_pev,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,50+,15+,,Male,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||50+|15+||Male||Sexual Violence (Post-Rape Care)|FALSE,gend_gbv_o50_m_sv,DisaggTool,GEND_GBV,GEND_GBV,N,,,,,,,,,50+,15+,,Male,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||Unknown Age|Unknown Age||Female||Physical and/or Emotional Violence|FALSE,,,,GEND_GBV,N,,,,,,,,,Unknown Age,Unknown Age,,Female,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||Unknown Age|Unknown Age||Female||Sexual Violence (Post-Rape Care)|FALSE,,,,GEND_GBV,N,,,,,,,,,Unknown Age,Unknown Age,,Female,,Sexual Violence (Post-Rape Care),FALSE
GEND_GBV|N|||||||||Unknown Age|Unknown Age||Male||Physical and/or Emotional Violence|FALSE,,,,GEND_GBV,N,,,,,,,,,Unknown Age,Unknown Age,,Male,,Physical and/or Emotional Violence,FALSE
GEND_GBV|N|||||||||Unknown Age|Unknown Age||Male||Sexual Violence (Post-Rape Care)|FALSE,,,,GEND_GBV,N,,,,,,,,,Unknown Age,Unknown Age,,Male,,Sexual Violence (Post-Rape Care),FALSE
HTS_SELF|N||||||||||||||Directly-Assisted|FALSE,hts_self_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,,,,,,Directly-Assisted,FALSE
HTS_SELF|N||||||||||||||Unassisted - Other|FALSE,hts_self_unasst_oth,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,,,,,,Unassisted - Other,FALSE
HTS_SELF|N||||||||||||||Unassisted - Self|FALSE,hts_self_unasst_self,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,,,,,,Unassisted - Self,FALSE
HTS_SELF|N||||||||||||||Unassisted - Sex Partner|FALSE,hts_self_unasst_partner,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,,,,,,Unassisted - Sex Partner,FALSE
HTS_SELF|N||||||||||||||Unassisted|FALSE,hts_self_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,,,,,,Unassisted,FALSE
HTS_SELF|N|||||||||10-14|<15||Female||Directly-Assisted|FALSE,hts_self_1014_f_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,10-14,<15,,Female,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||10-14|<15||Female||Unassisted|FALSE,hts_self_1014_f_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,10-14,<15,,Female,,Unassisted,FALSE
HTS_SELF|N|||||||||10-14|<15||Male||Directly-Assisted|FALSE,hts_self_1014_m_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,10-14,<15,,Male,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||10-14|<15||Male||Unassisted|FALSE,hts_self_1014_m_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,10-14,<15,,Male,,Unassisted,FALSE
HTS_SELF|N|||||||||15-19|15+||Female||Directly-Assisted|FALSE,hts_self_1519_f_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,15-19,15+,,Female,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||15-19|15+||Female||Unassisted|FALSE,hts_self_1519_f_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,15-19,15+,,Female,,Unassisted,FALSE
HTS_SELF|N|||||||||15-19|15+||Male||Directly-Assisted|FALSE,hts_self_1519_m_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,15-19,15+,,Male,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||15-19|15+||Male||Unassisted|FALSE,hts_self_1519_m_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,15-19,15+,,Male,,Unassisted,FALSE
HTS_SELF|N|||||||||20-24|15+||Female||Directly-Assisted|FALSE,hts_self_2024_f_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,20-24,15+,,Female,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||20-24|15+||Female||Unassisted|FALSE,hts_self_2024_f_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,20-24,15+,,Female,,Unassisted,FALSE
HTS_SELF|N|||||||||20-24|15+||Male||Directly-Assisted|FALSE,hts_self_2024_m_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,20-24,15+,,Male,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||20-24|15+||Male||Unassisted|FALSE,hts_self_2024_m_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,20-24,15+,,Male,,Unassisted,FALSE
HTS_SELF|N|||||||||25-29|15+||Female||Directly-Assisted|FALSE,hts_self_2529_f_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,25-29,15+,,Female,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||25-29|15+||Female||Unassisted|FALSE,hts_self_2529_f_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,25-29,15+,,Female,,Unassisted,FALSE
HTS_SELF|N|||||||||25-29|15+||Male||Directly-Assisted|FALSE,hts_self_2529_m_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,25-29,15+,,Male,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||25-29|15+||Male||Unassisted|FALSE,hts_self_2529_m_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,25-29,15+,,Male,,Unassisted,FALSE
HTS_SELF|N|||||||||30-34|15+||Female||Directly-Assisted|FALSE,hts_self_3034_f_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,30-34,15+,,Female,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||30-34|15+||Female||Unassisted|FALSE,hts_self_3034_f_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,30-34,15+,,Female,,Unassisted,FALSE
HTS_SELF|N|||||||||30-34|15+||Male||Directly-Assisted|FALSE,hts_self_3034_m_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,30-34,15+,,Male,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||30-34|15+||Male||Unassisted|FALSE,hts_self_3034_m_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,30-34,15+,,Male,,Unassisted,FALSE
HTS_SELF|N|||||||||35-39|15+||Female||Directly-Assisted|FALSE,hts_self_3539_f_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,35-39,15+,,Female,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||35-39|15+||Female||Unassisted|FALSE,hts_self_3539_f_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,35-39,15+,,Female,,Unassisted,FALSE
HTS_SELF|N|||||||||35-39|15+||Male||Directly-Assisted|FALSE,hts_self_3539_m_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,35-39,15+,,Male,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||35-39|15+||Male||Unassisted|FALSE,hts_self_3539_m_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,35-39,15+,,Male,,Unassisted,FALSE
HTS_SELF|N|||||||||40-49|15+||Female||Directly-Assisted|FALSE,hts_self_4049_f_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,40-49,15+,,Female,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||40-49|15+||Female||Unassisted|FALSE,hts_self_4049_f_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,40-49,15+,,Female,,Unassisted,FALSE
HTS_SELF|N|||||||||40-49|15+||Male||Directly-Assisted|FALSE,hts_self_4049_m_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,40-49,15+,,Male,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||40-49|15+||Male||Unassisted|FALSE,hts_self_4049_m_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,40-49,15+,,Male,,Unassisted,FALSE
HTS_SELF|N|||||||||50+|15+||Female||Directly-Assisted|FALSE,hts_self_o50_f_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,50+,15+,,Female,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||50+|15+||Female||Unassisted|FALSE,hts_self_o50_f_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,50+,15+,,Female,,Unassisted,FALSE
HTS_SELF|N|||||||||50+|15+||Male||Directly-Assisted|FALSE,hts_self_o50_m_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,50+,15+,,Male,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||50+|15+||Male||Unassisted|FALSE,hts_self_o50_m_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,,,,,,,,50+,15+,,Male,,Unassisted,FALSE
HTS_SELF|N|||||||||Unknown Age|Unknown Age||Female||Directly-Assisted|FALSE,,,,HTS_SELF,N,,,,,,,,,Unknown Age,Unknown Age,,Female,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||Unknown Age|Unknown Age||Female||Unassisted|FALSE,,,,HTS_SELF,N,,,,,,,,,Unknown Age,Unknown Age,,Female,,Unassisted,FALSE
HTS_SELF|N|||||||||Unknown Age|Unknown Age||Male||Directly-Assisted|FALSE,,,,HTS_SELF,N,,,,,,,,,Unknown Age,Unknown Age,,Male,,Directly-Assisted,FALSE
HTS_SELF|N|||||||||Unknown Age|Unknown Age||Male||Unassisted|FALSE,,,,HTS_SELF,N,,,,,,,,,Unknown Age,Unknown Age,,Male,,Unassisted,FALSE
HTS_SELF|N||FSW||||||||||Female||Directly-Assisted|FALSE,hts_self_fsw_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,FSW,,,,,,,,,,Female,,Directly-Assisted,FALSE
HTS_SELF|N||FSW||||||||||Female||Unassisted|FALSE,hts_self_fsw_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,FSW,,,,,,,,,,Female,,Unassisted,FALSE
HTS_SELF|N||MSM||||||||||Male||Directly-Assisted|FALSE,hts_self_msm_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,MSM,,,,,,,,,,Male,,Directly-Assisted,FALSE
HTS_SELF|N||MSM||||||||||Male||Unassisted|FALSE,hts_self_msm_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,MSM,,,,,,,,,,Male,,Unassisted,FALSE
HTS_SELF|N||People in prisons and other enclosed settings||||||||||||Directly-Assisted|FALSE,hts_self_prison_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,People in prisons and other enclosed settings,,,,,,,,,,,,Directly-Assisted,FALSE
HTS_SELF|N||People in prisons and other enclosed settings||||||||||||Unassisted|FALSE,hts_self_prison_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,People in prisons and other enclosed settings,,,,,,,,,,,,Unassisted,FALSE
HTS_SELF|N||PWID||||||||||||Directly-Assisted|FALSE,hts_self_pwid_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,PWID,,,,,,,,,,,,Directly-Assisted,FALSE
HTS_SELF|N||PWID||||||||||||Unassisted|FALSE,hts_self_pwid_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,PWID,,,,,,,,,,,,Unassisted,FALSE
HTS_SELF|N||TG||||||||||||Directly-Assisted|FALSE,hts_self_tg_direct,DisaggTool,HTS_SELF,HTS_SELF,N,,TG,,,,,,,,,,,,Directly-Assisted,FALSE
HTS_SELF|N||TG||||||||||||Unassisted|FALSE,hts_self_tg_unasst,DisaggTool,HTS_SELF,HTS_SELF,N,,TG,,,,,,,,,,,,Unassisted,FALSE
HTS_TST|N|||||||||||||||FALSE,,,,HTS_TST,N,,,,,,,,,,,,,,,FALSE
HTS_TST|N||FSW||||||||||Female|Negative||FALSE,hts_tst_keypop_fsw_neg,HTS_DisaggTool,KeyPop,HTS_TST,N,,FSW,,,,,,,,,,Female,Negative,,FALSE
HTS_TST|N||FSW||||||||||Female|Positive||FALSE,hts_tst_keypop_fsw_pos,HTS_DisaggTool,KeyPop,HTS_TST,N,,FSW,,,,,,,,,,Female,Positive,,FALSE
HTS_TST|N||MSM||||||||||Male|Negative||FALSE,hts_tst_keypop_msm_neg,HTS_DisaggTool,KeyPop,HTS_TST,N,,MSM,,,,,,,,,,Male,Negative,,FALSE
HTS_TST|N||MSM||||||||||Male|Positive||FALSE,hts_tst_keypop_msm_pos,HTS_DisaggTool,KeyPop,HTS_TST,N,,MSM,,,,,,,,,,Male,Positive,,FALSE
HTS_TST|N||People in prisons and other enclosed settings|||||||||||Negative||FALSE,hts_tst_keypop_prison_neg,HTS_DisaggTool,KeyPop,HTS_TST,N,,People in prisons and other enclosed settings,,,,,,,,,,,Negative,,FALSE
HTS_TST|N||People in prisons and other enclosed settings|||||||||||Positive||FALSE,hts_tst_keypop_prison_pos,HTS_DisaggTool,KeyPop,HTS_TST,N,,People in prisons and other enclosed settings,,,,,,,,,,,Positive,,FALSE
HTS_TST|N||PWID|||||||||||Negative||FALSE,hts_tst_keypop_pwid_neg,HTS_DisaggTool,KeyPop,HTS_TST,N,,PWID,,,,,,,,,,,Negative,,FALSE
HTS_TST|N||PWID|||||||||||Positive||FALSE,hts_tst_keypop_pwid_pos,HTS_DisaggTool,KeyPop,HTS_TST,N,,PWID,,,,,,,,,,,Positive,,FALSE
HTS_TST|N||TG|||||||||||Negative||FALSE,hts_tst_keypop_tg_neg,HTS_DisaggTool,KeyPop,HTS_TST,N,,TG,,,,,,,,,,,Negative,,FALSE
HTS_TST|N||TG|||||||||||Positive||FALSE,hts_tst_keypop_tg_pos,HTS_DisaggTool,KeyPop,HTS_TST,N,,TG,,,,,,,,,,,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||<1|<15||Unknown Sex|Negative||FALSE,hts_tst_emergency_u1_unk_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,<1,<15,,Unknown Sex,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||<1|<15||Unknown Sex|Positive||FALSE,hts_tst_emergency_u1_unk_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,<1,<15,,Unknown Sex,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||1-9|<15||Unknown Sex|Negative||FALSE,hts_tst_emergency_0109_unk_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,1-9,<15,,Unknown Sex,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||1-9|<15||Unknown Sex|Positive||FALSE,hts_tst_emergency_0109_unk_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,1-9,<15,,Unknown Sex,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||10-14|<15||Female|Negative||FALSE,hts_tst_emergency_1014_f_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,10-14,<15,,Female,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||10-14|<15||Female|Positive||FALSE,hts_tst_emergency_1014_f_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,10-14,<15,,Female,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||10-14|<15||Male|Negative||FALSE,hts_tst_emergency_1014_m_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,10-14,<15,,Male,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||10-14|<15||Male|Positive||FALSE,hts_tst_emergency_1014_m_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,10-14,<15,,Male,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||15-19|15+||Female|Negative||FALSE,hts_tst_emergency_1519_f_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,15-19,15+,,Female,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||15-19|15+||Female|Positive||FALSE,hts_tst_emergency_1519_f_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,15-19,15+,,Female,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||15-19|15+||Male|Negative||FALSE,hts_tst_emergency_1519_m_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,15-19,15+,,Male,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||15-19|15+||Male|Positive||FALSE,hts_tst_emergency_1519_m_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,15-19,15+,,Male,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||20-24|15+||Female|Negative||FALSE,hts_tst_emergency_2024_f_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,20-24,15+,,Female,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||20-24|15+||Female|Positive||FALSE,hts_tst_emergency_2024_f_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,20-24,15+,,Female,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||20-24|15+||Male|Negative||FALSE,hts_tst_emergency_2024_m_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,20-24,15+,,Male,Negative,,FALSE
HTS_TST|N|Emergency Ward||||||||20-24|15+||Male|Positive||FALSE,hts_tst_emergency_2024_m_pos,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,20-24,15+,,Male,Positive,,FALSE
HTS_TST|N|Emergency Ward||||||||25-29|15+||Female|Negative||FALSE,hts_tst_emergency_2529_f_neg,HTS_DisaggTool,Emergency,HTS_TST,N,Emergency Ward,,,,,,,,25-29,15+,,Female,Negative,,FALSE
